"","ID","abundance","richness","dispersal_sum","dispersal_abiotic","dispersal_biotic","dispersal_NA","dispersal_a/biotic","guild_sum","guild_generalist","guild_pioneer","guild_shadetolerant","guild_NA"
"1","MX_WT_FC1",1368,12,12,0.666666666666667,0.25,0.0833333333333333,0,12,0.166666666666667,0.583333333333333,0.166666666666667,0.0833333333333333
"2","MX_WT_FC10",131,15,15,0.6,0.333333333333333,0.0666666666666667,0,15,0.266666666666667,0.533333333333333,0.0666666666666667,0.133333333333333
"3","MX_WT_FC11",43,9,9,0.888888888888889,0,0.111111111111111,0,9,0.222222222222222,0.666666666666667,0,0.111111111111111
"4","MX_WT_FC12",200,16,16,0.6875,0.25,0.0625,0,16,0.25,0.5625,0.0625,0.125
"5","MX_WT_FC13",2793,17,17,0.647058823529412,0.294117647058824,0.0588235294117647,0,17,0.117647058823529,0.705882352941177,0.117647058823529,0.0588235294117647
"6","MX_WT_FC14",1348,23,23,0.391304347826087,0.565217391304348,0.0434782608695652,0,23,0.304347826086957,0.478260869565217,0.130434782608696,0.0869565217391304
"7","MX_WT_FC15",66,8,8,0.625,0.25,0.125,0,8,0.25,0.625,0,0.125
"8","MX_WT_FC16",1308,22,22,0.5,0.318181818181818,0.0909090909090909,0.0909090909090909,22,0.0454545454545455,0.681818181818182,0.181818181818182,0.0909090909090909
"9","MX_WT_FC17",1122,18,18,0.5,0.388888888888889,0.111111111111111,0,18,0.111111111111111,0.611111111111111,0.111111111111111,0.166666666666667
"10","MX_WT_FC18",236,18,18,0.666666666666667,0.222222222222222,0.0555555555555556,0.0555555555555556,18,0.111111111111111,0.555555555555556,0.277777777777778,0.0555555555555556
"11","MX_WT_FC19",1123,17,17,0.647058823529412,0.294117647058824,0.0588235294117647,0,17,0.176470588235294,0.529411764705882,0.117647058823529,0.176470588235294
"12","MX_WT_FC2",220,15,15,0.666666666666667,0.266666666666667,0.0666666666666667,0,15,0.4,0.466666666666667,0.0666666666666667,0.0666666666666667
"13","MX_WT_FC20",139,13,13,0.692307692307692,0.307692307692308,0,0,13,0.230769230769231,0.692307692307692,0.0769230769230769,0
"14","MX_WT_FC3",58,9,9,0.666666666666667,0.222222222222222,0.111111111111111,0,9,0.111111111111111,0.777777777777778,0,0.111111111111111
"15","MX_WT_FC4",65,7,7,0.428571428571429,0.428571428571429,0.142857142857143,0,7,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143
"16","MX_WT_FC5",1454,13,13,0.846153846153846,0.0769230769230769,0.0769230769230769,0,13,0.307692307692308,0.615384615384615,0,0.0769230769230769
"17","MX_WT_FC6",95,18,18,0.611111111111111,0.333333333333333,0.0555555555555556,0,18,0.277777777777778,0.5,0.111111111111111,0.111111111111111
"18","MX_WT_FC7",93,14,14,0.642857142857143,0.285714285714286,0.0714285714285714,0,14,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"19","MX_WT_FC8",253,9,9,0.777777777777778,0.111111111111111,0.111111111111111,0,9,0.222222222222222,0.555555555555556,0,0.222222222222222
"20","MX_WT_FC9",194,12,12,0.583333333333333,0.25,0.166666666666667,0,12,0.333333333333333,0.333333333333333,0.0833333333333333,0.25
