"","ID","abundance","richness","dispersal_n","dispersal_sum","dispersal_abiotic","dispersal_biotic","dispersal_NA","dispersal_a/biotic","guild_sum","guild_generalist","guild_pioneer","guild_shadetolerant","guild_NA"
"1","MX_WT_FC1",1368,12,8,12,0.666666666666667,0,0,0,12,0.166666666666667,0.583333333333333,0.166666666666667,0.0833333333333333
"2","MX_WT_FC1",1368,12,3,12,0,0.25,0,0,12,0.166666666666667,0.583333333333333,0.166666666666667,0.0833333333333333
"3","MX_WT_FC1",1368,12,1,12,0,0,0.0833333333333333,0,12,0.166666666666667,0.583333333333333,0.166666666666667,0.0833333333333333
"4","MX_WT_FC10",131,15,9,15,0.6,0,0,0,15,0.266666666666667,0.533333333333333,0.0666666666666667,0.133333333333333
"5","MX_WT_FC10",131,15,5,15,0,0.333333333333333,0,0,15,0.266666666666667,0.533333333333333,0.0666666666666667,0.133333333333333
"6","MX_WT_FC10",131,15,1,15,0,0,0.0666666666666667,0,15,0.266666666666667,0.533333333333333,0.0666666666666667,0.133333333333333
"7","MX_WT_FC11",43,9,8,9,0.888888888888889,0,0,0,9,0.222222222222222,0.666666666666667,0,0.111111111111111
"8","MX_WT_FC11",43,9,1,9,0,0,0.111111111111111,0,9,0.222222222222222,0.666666666666667,0,0.111111111111111
"9","MX_WT_FC12",200,16,11,16,0.6875,0,0,0,16,0.25,0.5625,0.0625,0.125
"10","MX_WT_FC12",200,16,4,16,0,0.25,0,0,16,0.25,0.5625,0.0625,0.125
"11","MX_WT_FC12",200,16,1,16,0,0,0.0625,0,16,0.25,0.5625,0.0625,0.125
"12","MX_WT_FC13",2793,17,11,17,0.647058823529412,0,0,0,17,0.117647058823529,0.705882352941177,0.117647058823529,0.0588235294117647
"13","MX_WT_FC13",2793,17,5,17,0,0.294117647058824,0,0,17,0.117647058823529,0.705882352941177,0.117647058823529,0.0588235294117647
"14","MX_WT_FC13",2793,17,1,17,0,0,0.0588235294117647,0,17,0.117647058823529,0.705882352941177,0.117647058823529,0.0588235294117647
"15","MX_WT_FC14",1348,23,9,23,0.391304347826087,0,0,0,23,0.304347826086957,0.478260869565217,0.130434782608696,0.0869565217391304
"16","MX_WT_FC14",1348,23,13,23,0,0.565217391304348,0,0,23,0.304347826086957,0.478260869565217,0.130434782608696,0.0869565217391304
"17","MX_WT_FC14",1348,23,1,23,0,0,0.0434782608695652,0,23,0.304347826086957,0.478260869565217,0.130434782608696,0.0869565217391304
"18","MX_WT_FC15",66,8,5,8,0.625,0,0,0,8,0.25,0.625,0,0.125
"19","MX_WT_FC15",66,8,2,8,0,0.25,0,0,8,0.25,0.625,0,0.125
"20","MX_WT_FC15",66,8,1,8,0,0,0.125,0,8,0.25,0.625,0,0.125
"21","MX_WT_FC16",1308,22,11,22,0.5,0,0,0,22,0.0454545454545455,0.681818181818182,0.181818181818182,0.0909090909090909
"22","MX_WT_FC16",1308,22,2,22,0,0,0.0909090909090909,0.0909090909090909,22,0.0454545454545455,0.681818181818182,0.181818181818182,0.0909090909090909
"23","MX_WT_FC16",1308,22,7,22,0,0.318181818181818,0,0,22,0.0454545454545455,0.681818181818182,0.181818181818182,0.0909090909090909
"24","MX_WT_FC17",1122,18,9,18,0.5,0,0,0,18,0.111111111111111,0.611111111111111,0.111111111111111,0.166666666666667
"25","MX_WT_FC17",1122,18,7,18,0,0.388888888888889,0,0,18,0.111111111111111,0.611111111111111,0.111111111111111,0.166666666666667
"26","MX_WT_FC17",1122,18,2,18,0,0,0.111111111111111,0,18,0.111111111111111,0.611111111111111,0.111111111111111,0.166666666666667
"27","MX_WT_FC18",236,18,12,18,0.666666666666667,0,0,0,18,0.111111111111111,0.555555555555556,0.277777777777778,0.0555555555555556
"28","MX_WT_FC18",236,18,1,18,0,0,0.0555555555555556,0.0555555555555556,18,0.111111111111111,0.555555555555556,0.277777777777778,0.0555555555555556
"29","MX_WT_FC18",236,18,4,18,0,0.222222222222222,0,0,18,0.111111111111111,0.555555555555556,0.277777777777778,0.0555555555555556
"30","MX_WT_FC19",1123,17,11,17,0.647058823529412,0,0,0,17,0.176470588235294,0.529411764705882,0.117647058823529,0.176470588235294
"31","MX_WT_FC19",1123,17,5,17,0,0.294117647058824,0,0,17,0.176470588235294,0.529411764705882,0.117647058823529,0.176470588235294
"32","MX_WT_FC19",1123,17,1,17,0,0,0.0588235294117647,0,17,0.176470588235294,0.529411764705882,0.117647058823529,0.176470588235294
"33","MX_WT_FC2",220,15,10,15,0.666666666666667,0,0,0,15,0.4,0.466666666666667,0.0666666666666667,0.0666666666666667
"34","MX_WT_FC2",220,15,4,15,0,0.266666666666667,0,0,15,0.4,0.466666666666667,0.0666666666666667,0.0666666666666667
"35","MX_WT_FC2",220,15,1,15,0,0,0.0666666666666667,0,15,0.4,0.466666666666667,0.0666666666666667,0.0666666666666667
"36","MX_WT_FC20",139,13,9,13,0.692307692307692,0,0,0,13,0.230769230769231,0.692307692307692,0.0769230769230769,0
"37","MX_WT_FC20",139,13,4,13,0,0.307692307692308,0,0,13,0.230769230769231,0.692307692307692,0.0769230769230769,0
"38","MX_WT_FC3",58,9,6,9,0.666666666666667,0,0,0,9,0.111111111111111,0.777777777777778,0,0.111111111111111
"39","MX_WT_FC3",58,9,2,9,0,0.222222222222222,0,0,9,0.111111111111111,0.777777777777778,0,0.111111111111111
"40","MX_WT_FC3",58,9,1,9,0,0,0.111111111111111,0,9,0.111111111111111,0.777777777777778,0,0.111111111111111
"41","MX_WT_FC4",65,7,3,7,0.428571428571429,0.428571428571429,0,0,7,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143
"42","MX_WT_FC4",65,7,1,7,0,0,0.142857142857143,0,7,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143
"43","MX_WT_FC5",1454,13,11,13,0.846153846153846,0,0,0,13,0.307692307692308,0.615384615384615,0,0.0769230769230769
"44","MX_WT_FC5",1454,13,1,13,0,0.0769230769230769,0.0769230769230769,0,13,0.307692307692308,0.615384615384615,0,0.0769230769230769
"45","MX_WT_FC6",95,18,11,18,0.611111111111111,0,0,0,18,0.277777777777778,0.5,0.111111111111111,0.111111111111111
"46","MX_WT_FC6",95,18,6,18,0,0.333333333333333,0,0,18,0.277777777777778,0.5,0.111111111111111,0.111111111111111
"47","MX_WT_FC6",95,18,1,18,0,0,0.0555555555555556,0,18,0.277777777777778,0.5,0.111111111111111,0.111111111111111
"48","MX_WT_FC7",93,14,9,14,0.642857142857143,0,0,0,14,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"49","MX_WT_FC7",93,14,4,14,0,0.285714285714286,0,0,14,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"50","MX_WT_FC7",93,14,1,14,0,0,0.0714285714285714,0,14,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"51","MX_WT_FC8",253,9,7,9,0.777777777777778,0,0,0,9,0.222222222222222,0.555555555555556,0,0.222222222222222
"52","MX_WT_FC8",253,9,1,9,0,0.111111111111111,0.111111111111111,0,9,0.222222222222222,0.555555555555556,0,0.222222222222222
"53","MX_WT_FC9",194,12,7,12,0.583333333333333,0,0,0,12,0.333333333333333,0.333333333333333,0.0833333333333333,0.25
"54","MX_WT_FC9",194,12,3,12,0,0.25,0,0,12,0.333333333333333,0.333333333333333,0.0833333333333333,0.25
"55","MX_WT_FC9",194,12,2,12,0,0,0.166666666666667,0,12,0.333333333333333,0.333333333333333,0.0833333333333333,0.25
