"","ID","mean_age","percentage_inside","ca","forest_cover","forest_connectivity","forest_early_ss","forest_late_ss","forest_type"
"1","MX_DR_FC1",2,106.136586255072,63.8201430997657,0.768595041322314,90.0209351011863,0.180349932705249,0.819650067294751,"dry"
"2","MX_DR_FC2",2,107.346016700672,46.1495120802089,0.549540347293156,82.4101068999028,0.0799256505576208,0.920074349442379,"dry"
"3","MX_DR_FC3",2,106.250239622609,50.6958394784429,0.609907120743034,85.6134157105031,0.0626057529610829,0.937394247038917,"dry"
"4","MX_DR_FC4",2,106.354751465003,54.0412502054468,0.649484536082474,90.4052936311001,0.119047619047619,0.880952380952381,"dry"
"5","MX_DR_FC5",2,106.353767750648,56.1857442612185,0.675257731958763,89.6661367249603,0.148091603053435,0.851908396946565,"dry"
"6","MX_DR_FC6",2,106.244398436814,54.8132680655246,0.659442724458204,92.9910350448248,0.101721439749609,0.898278560250391,"dry"
"7","MX_DR_FC7",2,106.134388488347,55.4137264011407,0.667355371900826,90.7332796132151,0.0990712074303406,0.900928792569659,"dry"
"8","MX_DR_FC8",2,106.024356379718,63.0481252396879,0.760082730093071,92.3674911660777,0.153741496598639,0.846258503401361,"dry"
"9","MX_DR_FC9",2,106.245004543421,69.7389466936956,0.839009287925697,92.219387755102,0.225092250922509,0.774907749077491,"dry"
"10","MX_DR_FC10",2,107.122043423686,71.2829824138543,0.850562947799386,93.3291770573566,0.147836538461538,0.852163461538462,"dry"
"11","MX_DR_FC11",2,106.683932071856,71.7118812250056,0.859198355601233,93.7422552664188,0.102870813397129,0.897129186602871,"dry"
"12","MX_DR_FC12",2,106.136349497473,75.2288514764711,0.90599173553719,94.9822904368359,0.101366742596811,0.898633257403189,"dry"
"13","MX_DR_FC13",2,106.137300987886,76.4297681477033,0.920454545454545,95.7607433217189,0.058361391694725,0.941638608305275,"dry"
"14","MX_DR_FC14",2,106.357008501621,76.6871074343959,0.921649484536082,95.4282407407407,0.0794183445190157,0.920581655480984,"dry"
"15","MX_DR_FC15",2,106.245962377662,75.0572919520094,0.902992776057791,94.8520710059172,0.101482326111745,0.898517673888255,"dry"
"16","MX_DR_FC16",2,106.140215978577,42.1178632553561,0.507231404958678,80.5763073639274,0.0977596741344195,0.90224032586558,"dry"
"17","MX_DR_FC17",2,106.140806533607,41.3458453952783,0.497933884297521,80.2173913043478,0.103734439834025,0.896265560165975,"dry"
"18","MX_DR_FC18",2,107.127148413593,42.2036430175888,0.503582395087001,80.6176783812567,0.0955284552845529,0.904471544715447,"dry"
"19","MX_DR_FC19",2,106.472961429792,42.6325418287413,0.511843460350155,86.6174920969441,0.150905432595573,0.849094567404427,"dry"
"20","MX_DR_FC20",2,106.139032635852,39.2871311017375,0.473140495867769,79.9541809851088,0.102620087336245,0.897379912663755,"dry"
"21","MX_DR_FC21",2,107.562364139931,58.0728990302962,0.690112130479103,93.0053804765565,0.0781710914454277,0.921828908554572,"dry"
