"","ID","mean_age","percentage_inside","ca","forest_cover","forest_connectivity","forest_early_ss","forest_late_ss","forest_type"
"1","MX_WT_FC1",1,107.845652704571,25.8517420250846,0.307142857142857,83.7742504409171,0.558139534883721,0.441860465116279,"wet"
"2","MX_WT_FC2",1,106.521027001383,21.7292050908521,0.261363636363636,73.4177215189873,0.794466403162055,0.205533596837945,"wet"
"3","MX_WT_FC3",1,107.293953752736,19.9255951821239,0.237948717948718,74.364896073903,0.560344827586207,0.439655172413793,"wet"
"4","MX_WT_FC4",1,106.525243335429,17.0054648537103,0.204545454545455,71.3896457765668,0.590909090909091,0.409090909090909,"wet"
"5","MX_WT_FC5",1,106.52189703636,23.3610426273192,0.28099173553719,83.9530332681018,0.665441176470588,0.334558823529412,"wet"
"6","MX_WT_FC6",2,106.748652671614,23.7904735579685,0.285567010309278,78.4615384615385,0.429602888086643,0.570397111913357,"wet"
"7","MX_WT_FC7",2,106.638041514027,23.7045873718386,0.284829721362229,83.011583011583,0.340579710144928,0.659420289855073,"wet"
"8","MX_WT_FC8",1,107.737138262675,23.4469288134475,0.278855975485189,79.6875,0.52014652014652,0.47985347985348,"wet"
"9","MX_WT_FC9",2,106.527253617435,23.2751564411894,0.27995867768595,79.3713163064833,0.424354243542435,0.575645756457565,"wet"
"10","MX_WT_FC10",1,106.523125582234,35.1274501271087,0.422520661157025,81.981981981982,0.635696821515892,0.364303178484108,"wet"
"11","MX_WT_FC11",1,106.85434810026,27.5694657476819,0.330587023686921,80.6930693069307,0.70404984423676,0.29595015576324,"wet"
"12","MX_WT_FC12",1,106.415343244422,21.2997741602028,0.2564632885212,79.0948275862069,0.814516129032258,0.185483870967742,"wet"
"13","MX_WT_FC13",1,106.528789275908,22.6739531382804,0.272727272727273,67.6767676767677,0.617424242424242,0.382575757575758,"wet"
"14","MX_WT_FC14",1,107.411404899976,23.9622459302279,0.285860655737705,74.236641221374,0.587813620071685,0.412186379928315,"wet"
"15","MX_WT_FC15",2,107.30187019825,41.8265726452342,0.499487179487179,82.7771797631862,0.375,0.625,"wet"
"16","MX_WT_FC16",2,106.421768603756,45.8632233933399,0.552223371251293,80.6072477962782,0.408239700374532,0.591760299625468,"wet"
"17","MX_WT_FC17",2,107.632160292404,48.4398089772349,0.576687116564417,83.7037037037037,0.326241134751773,0.673758865248227,"wet"
"18","MX_WT_FC18",2,107.300897453023,41.3112555284575,0.493333333333333,87.4727668845316,0.224532224532225,0.775467775467775,"wet"
"19","MX_WT_FC19",1,106.854126826232,31.0907993790057,0.372811534500515,83.7956204379562,0.50828729281768,0.49171270718232,"wet"
"20","MX_WT_FC20",2,106.742127726931,35.2133363132385,0.422680412371134,81.5147625160462,0.45609756097561,0.54390243902439,"wet"
